,City,Reporting Period,Total emissions (metric tonnes CO2e),GHG/Capita, Population ,Year Reported,Methodology/Protocol,CityName,Country,Region,City Location
440,Municipality of Belo Horizonte,2015,5385703.0, 2.268 ,2375151.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Belo Horizonte,Brazil,Latin America,"(-19.916681, -43.934493)"
285,City of San Francisco,2012,5381687.0, 6.223 ,864816.0,2016,"Used ICLEI U.S. Community Protocol to verify calendar year 2012 emissions. During November 2015, the city reshaped and scoped calendar year 2012 emissions according to the new GPC BASIC framework to Compact of Mayors requirements. The GPC expanded the scope of the verified 2012 inventory to report sources such as from natural gas leakage from the distribution system, district electricity, transmission and distribution electric losses, wastewater, agriculture/farming, ships and boats (non-ferry), off-road equipment and stationary sources. This resulted in a higher emission number than originally verified by a third party.",San Francisco,USA,North America,"(37.7749295, -122.4194155)"
287,City of San Francisco,2016,5108064.0, 5.865 ,870887.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",San Francisco,USA,North America,"(37.7749295, -122.4194155)"
59,City of Athens,2015,5053422.0, 7.610 ,664046.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Athens,Greece,Europe,"(37.98381, 23.727539)"
288,City of San Francisco,2017,5005861.0, 5.660 ,884363.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),San Francisco,USA,North America,"(37.7749295, -122.4194155)"
286,City of San Francisco,2015,4981652.0, 5.760 ,864816.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",San Francisco,USA,North America,"(37.7749295, -122.4194155)"
225,City of Minneapolis,2014,4794708.0, 11.775 ,407207.0,2016,A note regarding how double counting is avoided for stationary sources: - natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector. - electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector.,Minneapolis,USA,North America,"(44.983334, -93.26667)"
226,City of Minneapolis,2014,4758487.0, 11.580 ,410939.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Minneapolis,USA,North America,"(44.983334, -93.26667)"
58,City of Athens,2014,4711576.0, 7.095 ,664046.0,2016,,Athens,Greece,Europe,"(37.98381, 23.727539)"
439,Municipality of Belo Horizonte,2015,4494883.0, 1.788 ,2513451.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Belo Horizonte,Brazil,Latin America,"(-19.916681, -43.934493)"
444,Municipality of Curitiba,2013,4421196.0, 2.524 ,1751907.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Curitiba,Brazil,Latin America,"(-25.431063, -49.264693)"
441,Municipality of Belo Horizonte,2016,4393301.0, 1.748 ,2513451.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Belo Horizonte,Brazil,Latin America,"(-19.916681, -43.934493)"
60,City of Athens,2016,4391579.0, 6.613 ,664046.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Athens,Greece,Europe,"(37.98381, 23.727539)"
446,Municipality of Curitiba,2016,4345663.0, 2.481 ,1751907.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Curitiba,Brazil,Latin America,"(-25.431063, -49.264693)"
228,City of Minneapolis,2018,4299864.0, 10.181 ,422331.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Minneapolis,USA,North America,"(44.983334, -93.26667)"
443,Municipality of Curitiba,2013,4125853.0, 2.355 ,1751907.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Curitiba,Brazil,Latin America,"(-25.431063, -49.264693)"
227,City of Minneapolis,2016,4117293.0, 9.804 ,419952.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Minneapolis,USA,North America,"(44.983334, -93.26667)"
313,City of Sydney,2015,3783982.0, 17.939 ,210931.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
314,City of Sydney,2016,3717748.0, 15.941 ,233219.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
316,City of Sydney,2018,3682686.0, 14.750 ,249676.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
315,City of Sydney,2017,3677319.0, 15.308 ,240229.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
312,City of Sydney,2015,3556529.0, 17.320 ,205339.0,2016,"Traditionally the City of Sydney has calculated city-wide GHG emissions based on the CCAP reporting tool by Kinesis - a private consultancy commissioned by the City. Recently the City has also developed GPC BASIC inventories for the 2005/06, 2013/14 and 2014/15 years to be compliant with the Compact of Mayors. The GPC BASIC inventories show lower emissions compared with inventories based on the CCAP tool due to different methodologies and emissions sources. Future year’s reports may be subject to change as the City of Sydney will be updating its inventories in the short term for achieving beyond GPC BASIC compliance.",Sydney,Australia,South Asia and Oceania,"(-33.8674869, 151.2069902)"
61,City of Athens,2017,3537650.0, 5.327 ,664046.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Athens,Greece,Europe,"(37.98381, 23.727539)"
445,Municipality of Curitiba,2016,3505046.0, 1.851 ,1893997.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Curitiba,Brazil,Latin America,"(-25.431063, -49.264693)"
5,Ajuntament de Barcelona,2014,3329110.0, 2.069 ,1608746.0,2017,Other,Barcelona,Spain,Europe,"(41.382271, 2.177506)"
438,Municipality of Belo Horizonte,2013,3241713.0, 1.295 ,2502557.0,2016,"GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry. GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases. A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration. GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system. It is worth mentioning that according to this model first-order decay, For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif. Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane.",Belo Horizonte,Brazil,Latin America,"(-19.916681, -43.934493)"
442,Municipality of Curitiba,2013,3036279.0, 1.733 ,1751907.0,2016,Developed in partnership with ICLEI/URBAN LEDS Project,Curitiba,Brazil,Latin America,"(-25.431063, -49.264693)"
8,Ajuntament de Barcelona,2018,2835426.0, 1.732 ,1636762.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Barcelona,Spain,Europe,"(41.382271, 2.177506)"
6,Ajuntament de Barcelona,2015,2822928.0, 1.759 ,1604555.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Barcelona,Spain,Europe,"(41.382271, 2.177506)"
7,Ajuntament de Barcelona,2017,2812730.0, 1.736 ,1620343.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Barcelona,Spain,Europe,"(41.382271, 2.177506)"
328,City of Vancouver,2017,2698097.0, 4.273 ,631486.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Vancouver,Canada,North America,"(49.261226, -123.1139268)"
329,City of Vancouver,2018,2551251.0, 3.970 ,642686.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Vancouver,Canada,North America,"(49.261226, -123.1139268)"
308,City of Stockholm,2012,2511000.0, 2.784 ,901989.0,2016,"The Stockholm proprietary method The total emissions for the community include (Scope 1 & 2 as defined in ""International standard for determining GHG for cities"" Version 2.1 and ""Global protocol for community-scale GHG (GPD)"" Pilot Version 1.0”. Scope 3 defined as the life cycle emissions of the energy use): Scope 1 & 3 emissions from district heating & cooling system and other in-boundary fuel combustion for heating Scope 2 & 3 emissions of the house-hold electricity consumption within the community boundary Scope 1 & 3 emissions of use of gas e.g. cooking Scope 2 & 3 emissions for electricity use in the transportation system (metro, commuter, train) within the community Scope 1 & 3 emissions for the fuel consumption from road traffic, non-road vehicles and shipping, & scope 1 emissions from aviation (within the landing & take-off cycle, i.e. up to 915m). This means that scope 3 emissions from transport of inhabitants outside the community boundary is not included (but transport of non-inhabitants within the community boundary is). Emission from household waste incineration is embedded in the district heating emissions, since household waste is a source of energy used in district heating. Energy use for waste-water handling is included in the total community energy use. Emission factors are collected from a report published by Swedish Environmental Research Institute Ltd. (IVL) in 2001 and Thermal Engineering Research Institute (Värmeforsk) in 2011. The reports are widely used and acknowledged. The global warming potentials are GWP100 from IPCC 2007, as recommended by the Swedish Environmental Protection Agency (SEPA). Energy statistics are collected from different sources: district heating & gas statistics are collected from the companies; electricity statistics is compiled and collected from Statistics Sweden; emissions from road transport is modeled using an extensive emission model combined with a road model over Stockholm (includes a variety vehicles, speeds, road types etc) and non-road emissions are taken from Statistics Sweden; marine emissions within the community boundary are based on emissions & energy use presented in environmental reports from shipping companies and Ports of Stockholm.",Stockholm,Sweden,Europe,"(59.3293235, 18.0685808)"
327,City of Vancouver,2015,2499107.0, 3.958 ,631486.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Vancouver,Canada,North America,"(49.261226, -123.1139268)"
326,City of Vancouver,2014,2442602.0, 4.047 ,603500.0,2016,The City has compiled a GPC-compliant inventory for 2014 as a Compact of Mayors signatory.,Vancouver,Canada,North America,"(49.261226, -123.1139268)"
310,City of Stockholm,2016,1823388.0, 1.949 ,935619.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Stockholm,Sweden,Europe,"(59.3293235, 18.0685808)"
309,City of Stockholm,2015,1796590.0, 1.945 ,923516.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Stockholm,Sweden,Europe,"(59.3293235, 18.0685808)"
311,City of Stockholm,2017,1715597.0, 1.806 ,949761.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Stockholm,Sweden,Europe,"(59.3293235, 18.0685808)"
501,Región Metropolitana de Santiago,2016,, -   ,7915199.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Santiago,Chile,Latin America,"(-33.44889, -70.669265)"
